"","voxel_size_x in mm","voxel_size_y in mm","voxel_size_z in mm","area in mm2","volume in mm3","SA_Vol in mm-1","centroid_x in pixels","centroid_y in pixels","centroid_z in pixels","weighted_centroid_x in pixels","weighted_centroid_y in pixels","weighted_centroid_z in pixels"
"SAMPLE-021-T2",0.00703299,0.00703299,0.00703299,124.340214653463,8.10882055797694,15.333945764917,260.825411713912,287.096836500291,276.53219742259,260.899688272069,287.248567750493,277.008384774883
"SAMPLE-022-T2",0.00703299,0.00703299,0.00703299,130.43555424382,14.0295528088551,9.29719970557379,321.905202016425,259.523538745445,347.141715219931,321.284106874884,258.690383572982,348.529885808062
"SAMPLE-023-T2",0.00703299,0.00703299,0.00703299,144.00336178445,13.6242403893903,10.5696433466185,290.886185066599,347.586821337113,279.745088878252,290.349651457016,348.292600252695,280.587301749299
"SAMPLE-024-T2",0.00703299,0.00703299,0.00703299,171.304845339687,16.6430052496402,10.2929034011685,333.084816883782,361.450351025381,295.765001666832,333.303131990115,361.108561166994,296.323963682116
"SAMPLE-025-T2",0.00703299,0.00703299,0.00703299,100.307086115103,11.0466981228851,9.08027765394442,301.732416571398,435.943891875765,253.617362378561,301.479125447877,436.022743185565,252.971296139289
"SAMPLE-028-T2",0.00703299,0.00703299,0.00703299,343.447388235076,20.7311410641043,16.5667382790497,395.093777399948,432.461360011996,442.02007856752,394.773321799071,432.824682845145,442.088739993895
"SAMPLE-029-T2",0.00703299,0.00703299,0.00703299,223.34804203778,8.72558688070238,25.5969077027632,289.582296075454,396.592719824934,454.067666183426,288.280522504238,397.662670290456,456.078189964822
"SAMPLE-030-T2",0.00703299,0.00703299,0.00703299,153.972900441675,8.39288830678957,18.3456391665687,378.850616587514,343.305162739147,266.37330253988,379.573623115193,343.684841877211,267.965567553481
"SAMPLE-031-T2",0.00703299,0.00703299,0.00703299,112.508163732909,6.9363972692416,16.2199711703091,218.055473897371,335.497587299893,314.335874505491,217.068352579207,333.404881616737,315.170697878989
"SAMPLE-032-T2",0.00703299,0.00703299,0.00703299,274.276974361172,25.9424090803484,10.5725329329164,341.270307587211,348.599816811357,436.282093936356,340.663377449249,348.49801053394,435.622488903113
"SAMPLE-033-T2",0.00703299,0.00703299,0.00703299,289.250175586045,22.1733964664382,13.0449196641505,437.062914645278,376.741844527702,498.023232121783,437.619059285813,376.768700203171,497.436990029455
"SAMPLE-034-T2",0.00703311,0.00703311,0.00703311,86.43611573626,9.39351868006132,9.2016760364494,216.540847438689,255.586542535759,306.281847521388,215.966327811327,256.052560536048,307.291665638755
"SAMPLE-035-T2",0.00703299,0.00703299,0.00703299,177.473256579589,23.5246400944882,7.54414332660376,375.575997039054,358.775099294142,419.021894397419,375.659322984332,358.599648154753,418.480009383176
"SAMPLE-038-T2",0.00703299,0.00703299,0.00703299,228.186767832978,10.728478694881,21.2692567439086,437.747859875926,397.734456522881,374.218984316219,437.70202575896,396.991725881702,375.510825784046
"SAMPLE-039-T2",0.00703299,0.00703299,0.00703299,91.3538504912288,5.00144806974509,18.2654801604058,405.05007516042,296.914078201892,197.337560011485,407.354859671012,296.401297151179,198.108207162414
"SAMPLE-041-T2",0.00703299,0.00703299,0.00703299,69.549223447377,3.00767886193594,23.1238861061817,273.896784323251,189.413457206719,319.72951234252,275.440767459983,187.997938274023,320.609344143222
"SAMPLE-042-T2",0.00703299,0.00703299,0.00703299,198.21234776359,9.85353015806546,20.1158716301635,321.081565250584,356.465675386581,430.462358614045,322.930316039395,355.067319822165,432.706386899167
"SAMPLE-043-T2",0.00703299,0.00703299,0.00703299,152.607124415696,9.6296993019364,15.8475482598931,308.250295736916,342.974166866498,382.570134606627,308.301202317611,343.568512614922,383.244739828605
"SAMPLE-044-T2",0.00703299,0.00703299,0.00703299,173.008409456365,14.2499797333443,12.1409582816131,364.295742072129,374.529052380751,347.820466498801,364.474919371216,374.627388132065,348.707003134904
"SAMPLE-045-T2",0.00703299,0.00703299,0.00703299,248.494191423776,14.7843100327095,16.8079667481266,359.010512802232,333.355466369626,481.493610637181,359.339941087639,333.244665646689,482.111780673174
"SAMPLE-048-T2",0.00703299,0.00703299,0.00703299,71.2685610722634,5.63309359166353,12.6517622887953,262.735670262688,220.651687363178,291.542489473993,263.036146983666,219.903806813191,292.674856235425
"SAMPLE-049-T2",0.00703299,0.00703299,0.00703299,128.749289299493,8.68647454078687,14.8218116216144,307.462805034527,253.589178346681,335.254450489318,307.484752184182,254.091475523883,334.388774254934
"SAMPLE-001-T1",0.00703299,0.00703299,0.00703299,239.271198673976,9.08694388040584,26.3313168677002,368.278898013604,282.820549743652,417.252715772197,369.032682694143,282.029342393939,418.986614317871
"SAMPLE-002-T1",0.00703299,0.00703299,0.00703299,235.29284478984,10.7442675804551,21.8993843021801,344.014889889821,319.050137385786,332.373824029311,343.837635982893,318.464317046859,332.933858796691
"SAMPLE-003-T1",0.00703299,0.00703299,0.00703299,220.95757410021,14.3348491242897,15.4140146285745,362.7296334267,313.921396483071,306.381233115512,363.19615699093,313.80320482064,306.659445665452
